#,Time,Latitude,Longitude,Lap Lenght,Garmin Lap Lenght,Distance,Garmin Distance,Garmin Lap Delta,Garmin Total Delta
1,1358065632,45.659989,9.262911,0.005440,0.005310,0.005440,0.006050,-2.386194,11.217236
2,1358065634,45.659971,9.262991,0.006564,0.006510,0.012004,0.012560,-0.830103,4.629207
3,1358065638,45.659908,9.263109,0.011455,0.011450,0.023459,0.024010,-0.041057,2.348782
4,1358065640,45.659871,9.263175,0.006582,0.006570,0.030041,0.030580,-0.187915,1.792966
5,1358065646,45.659748,9.263327,0.018077,0.018030,0.048119,0.048610,-0.261301,1.021217
6,1358065652,45.659651,9.263492,0.016810,0.016850,0.064928,0.065460,0.238945,0.818689
7,1358065658,45.659557,9.263653,0.016224,0.016420,0.081152,0.081880,1.208219,0.896564
8,1358065659,45.659558,9.263695,0.003280,0.003280,0.084433,0.085160,-0.009261,0.861371
9,1358065663,45.659619,9.263842,0.013278,0.013440,0.097711,0.098600,1.220270,0.910142
10,1358065668,45.659693,9.264014,0.015732,0.015850,0.113443,0.114450,0.750976,0.888070
11,1358065673,45.659786,9.264161,0.015377,0.015690,0.128820,0.130140,2.033545,1.024806
12,1358065678,45.659869,9.264270,0.012516,0.012500,0.141336,0.142640,-0.130332,0.922510
13,1358065683,45.659933,9.264387,0.011572,0.011630,0.152908,0.154270,0.503400,0.890793
14,1358065688,45.659993,9.264492,0.010541,0.010580,0.163449,0.164850,0.366025,0.856948
15,1358065694,45.660067,9.264653,0.014976,0.015030,0.178426,0.179880,0.359207,0.815170
16,1358065699,45.660146,9.264784,0.013473,0.013480,0.191899,0.193360,0.052066,0.761594
17,1358065704,45.660213,9.264914,0.012527,0.012530,0.204425,0.205890,0.027795,0.716629
18,1358065705,45.660217,9.264943,0.002259,0.002260,0.206684,0.208150,0.039215,0.709225
19,1358065708,45.660211,9.265045,0.007954,0.008090,0.214638,0.216240,1.708949,0.746272
20,1358065711,45.660197,9.265169,0.009767,0.009770,0.224405,0.226010,0.034771,0.715306
21,1358065713,45.660166,9.265250,0.007182,0.007240,0.231587,0.233250,0.803498,0.718041
22,1358065718,45.660066,9.265353,0.013651,0.013720,0.245238,0.246970,0.503680,0.706109
23,1358065724,45.659962,9.265460,0.014330,0.014400,0.259568,0.261370,0.491846,0.694280
24,1358065729,45.659872,9.265564,0.012811,0.012830,0.272379,0.274200,0.150111,0.668686
25,1358065735,45.659768,9.265673,0.014308,0.014320,0.286687,0.288520,0.081505,0.639381
26,1358065741,45.659654,9.265824,0.017321,0.017350,0.304008,0.305870,0.167801,0.612512
27,1358065747,45.659545,9.265957,0.015965,0.015970,0.319972,0.321840,0.034219,0.583659
28,1358065754,45.659420,9.266129,0.019287,0.019330,0.339259,0.341170,0.224579,0.563246
29,1358065760,45.659320,9.266261,0.015132,0.015150,0.354391,0.356320,0.120544,0.544343
30,1358065765,45.659232,9.266376,0.013207,0.013250,0.367598,0.369570,0.326849,0.536529
31,1358065771,45.659129,9.266518,0.015937,0.015970,0.383535,0.385540,0.206025,0.522796
32,1358065777,45.659023,9.266662,0.016221,0.016290,0.399756,0.401830,0.424806,0.518820
33,1358065783,45.658886,9.266837,0.020435,0.020450,0.420191,0.422280,0.072163,0.497097
34,1358065790,45.658757,9.267031,0.020778,0.020780,0.440969,0.443060,0.010428,0.474166
35,1358065797,45.658637,9.267210,0.019339,0.019380,0.460308,0.462440,0.210465,0.463087
36,1358065803,45.658530,9.267373,0.017364,0.017390,0.477672,0.479830,0.150105,0.451710
37,1358065810,45.658407,9.267561,0.019970,0.020010,0.497642,0.499840,0.199809,0.441601
38,1358065812,45.658374,9.267631,0.006619,0.006630,0.504261,0.506470,0.165878,0.437982
39,1358065817,45.658363,9.267820,0.014782,0.015470,0.519043,0.521940,4.657694,0.558153
40,1358065822,45.658425,9.267990,0.014891,0.015020,0.533934,0.536960,0.869477,0.566835
41,1358065828,45.658481,9.268170,0.015284,0.015290,0.549217,0.552250,0.042037,0.552231
42,1358065834,45.658598,9.268338,0.018459,0.018310,0.567676,0.570560,-0.808836,0.507973
43,1358065840,45.658693,9.268498,0.016271,0.016360,0.583947,0.586920,0.548503,0.509102
44,1358065846,45.658784,9.268667,0.016613,0.016670,0.600560,0.603590,0.341143,0.504456
45,1358065852,45.658872,9.268852,0.017366,0.017440,0.617927,0.621030,0.423645,0.502185
46,1358065856,45.658935,9.268969,0.011491,0.011540,0.629418,0.632570,0.422637,0.500732
47,1358065863,45.659000,9.269148,0.015653,0.015690,0.645071,0.648260,0.238104,0.494360
48,1358065868,45.659080,9.269279,0.013543,0.013490,0.658614,0.661750,-0.394156,0.476089
49,1358065873,45.659140,9.269435,0.013762,0.013780,0.672377,0.675530,0.127968,0.468963
50,1358065880,45.659221,9.269612,0.016467,0.016530,0.688844,0.692060,0.379848,0.466833
51,1358065886,45.659292,9.269768,0.014474,0.014610,0.703318,0.706670,0.940821,0.476587
52,1358065892,45.659368,9.269914,0.014182,0.014220,0.717500,0.720890,0.270879,0.472521
53,1358065894,45.659390,9.269960,0.004307,0.004300,0.721807,0.725190,-0.173205,0.468668
54,1358065895,45.659395,9.269985,0.002009,0.002010,0.723816,0.727200,0.046816,0.467497
55,1358065896,45.659407,9.270013,0.002585,0.002580,0.726401,0.729780,-0.189418,0.465159
56,1358065897,45.659420,9.270041,0.002631,0.002610,0.729032,0.732390,-0.808314,0.460563
57,1358065898,45.659431,9.270070,0.002576,0.002590,0.731609,0.734980,0.525117,0.460790
58,1358065899,45.659444,9.270101,0.002799,0.002780,0.734408,0.737760,-0.688255,0.456411
59,1358065900,45.659461,9.270129,0.002875,0.002870,0.737283,0.740630,-0.180099,0.453928
60,1358065904,45.659505,9.270266,0.011696,0.011910,0.748979,0.752540,1.827788,0.475383
61,1358065905,45.659509,9.270305,0.003094,0.003100,0.752074,0.755640,0.189813,0.474208
62,1358065906,45.659515,9.270340,0.002798,0.002800,0.754872,0.758440,0.057486,0.472663
63,1358065907,45.659512,9.270375,0.002681,0.002640,0.757553,0.761080,-1.539972,0.465540
64,1358065909,45.659497,9.270426,0.004299,0.004190,0.761852,0.765270,-2.530648,0.448633
65,1358065915,45.659376,9.270499,0.014604,0.014710,0.776456,0.779980,0.727898,0.453886
66,1358065918,45.659309,9.270536,0.007954,0.007960,0.784410,0.787940,0.077926,0.450074
67,1358065919,45.659290,9.270557,0.002705,0.002700,0.787114,0.790640,-0.168044,0.447950
68,1358065920,45.659268,9.270580,0.003016,0.003020,0.790131,0.793660,0.116342,0.446684
69,1358065926,45.659125,9.270715,0.019018,0.019070,0.809149,0.812730,0.272331,0.442586
