#,Time,Latitude,Longitude,Lap Lenght,Garmin Lap Lenght,Distance,Garmin Distance,Garmin Lap Delta,Garmin Total Delta
1,1363923248,45.659947,9.263031,0.002782,0.001560,0.002782,0.001560,-43.919565,-43.919565
2,1363923250,45.659872,9.263073,0.008997,0.008770,0.011779,0.010330,-2.523798,-12.299964
3,1363923254,45.659778,9.263176,0.013129,0.013210,0.024908,0.023540,0.613575,-5.493075
4,1363923255,45.659759,9.263213,0.003562,0.003530,0.028470,0.027070,-0.896505,-4.917993
5,1363923260,45.659661,9.263356,0.015592,0.015600,0.044063,0.042670,0.048438,-3.160521
6,1363923266,45.659553,9.263484,0.015573,0.015590,0.059636,0.058260,0.107078,-2.307220
7,1363923271,45.659484,9.263665,0.015969,0.016830,0.075605,0.075090,5.390597,-0.681302
8,1363923272,45.659496,9.263697,0.002815,0.002820,0.078420,0.077910,0.166022,-0.650883
9,1363923275,45.659557,9.263776,0.009192,0.009170,0.087613,0.087080,-0.242820,-0.608069
10,1363923280,45.659618,9.263927,0.013513,0.013660,0.101126,0.100740,1.086451,-0.381635
11,1363923285,45.659707,9.264051,0.013827,0.014110,0.114953,0.114850,2.049385,-0.089228
12,1363923291,45.659818,9.264211,0.017539,0.017570,0.132492,0.132420,0.176053,-0.054111
13,1363923298,45.659929,9.264390,0.018558,0.018630,0.151049,0.151050,0.389299,0.000366
14,1363923305,45.660036,9.264591,0.019669,0.019710,0.170718,0.170760,0.210745,0.024604
15,1363923310,45.660127,9.264765,0.016851,0.017010,0.187569,0.187770,0.945867,0.107367
16,1363923314,45.660183,9.264888,0.011466,0.011640,0.199034,0.199410,1.521285,0.188818
17,1363923315,45.660199,9.264921,0.003134,0.003140,0.202168,0.202550,0.185161,0.188761
18,1363923319,45.660225,9.265081,0.012756,0.012870,0.214924,0.215420,0.893170,0.230569
19,1363923321,45.660212,9.265173,0.007263,0.007230,0.222188,0.222650,-0.456104,0.208122
20,1363923323,45.660174,9.265241,0.006727,0.006730,0.228915,0.229380,0.042062,0.203242
21,1363923328,45.660065,9.265348,0.014770,0.014760,0.243685,0.244140,-0.070996,0.186619
22,1363923332,45.659991,9.265422,0.010039,0.010000,0.253724,0.254140,-0.388012,0.163883
23,1363923336,45.659915,9.265504,0.010508,0.010530,0.264232,0.264670,0.212870,0.165831
24,1363923343,45.659757,9.265666,0.021582,0.021640,0.285814,0.286310,0.266386,0.173424
25,1363923348,45.659647,9.265796,0.015923,0.015910,0.301738,0.302220,-0.084711,0.159802
26,1363923352,45.659578,9.265881,0.010130,0.010140,0.311867,0.312360,0.103155,0.157962
27,1363923356,45.659516,9.265980,0.010263,0.010250,0.322130,0.322610,-0.128029,0.148850
28,1363923360,45.659428,9.266089,0.012983,0.013020,0.335113,0.335630,0.285149,0.154131
29,1363923366,45.659320,9.266240,0.016828,0.016860,0.351942,0.352490,0.189417,0.155818
30,1363923372,45.659213,9.266398,0.017058,0.017090,0.369000,0.369580,0.187748,0.157294
31,1363923378,45.659082,9.266545,0.018507,0.018580,0.387507,0.388160,0.392465,0.168526
32,1363923381,45.659014,9.266613,0.009248,0.009240,0.396754,0.397400,-0.081378,0.162701
33,1363923382,45.659003,9.266628,0.001679,0.001670,0.398433,0.399070,-0.535811,0.159758
34,1363923386,45.658920,9.266694,0.010510,0.010640,0.408944,0.409710,1.234665,0.187384
35,1363923391,45.658794,9.266845,0.018310,0.018460,0.427254,0.428170,0.818474,0.214429
36,1363923398,45.658676,9.267072,0.022050,0.022010,0.449304,0.450180,-0.180789,0.195034
37,1363923403,45.658581,9.267223,0.015684,0.015710,0.464987,0.465890,0.167525,0.194106
38,1363923409,45.658476,9.267394,0.017753,0.017780,0.482740,0.483670,0.151779,0.192549
39,1363923415,45.658376,9.267546,0.016242,0.016280,0.498983,0.499950,0.233878,0.193895
40,1363923420,45.658329,9.267737,0.015701,0.015910,0.514683,0.515860,1.332010,0.228614
41,1363923424,45.658384,9.267865,0.011737,0.011830,0.526420,0.527690,0.791653,0.241167
